127.0.0.1 - - [05/Sep/2026 16:31:25] "HEAD /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:31:58] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:31:58] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:31:58] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:31:58] "GET /voice.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:31:58] "GET /history.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:31:58] "GET /api.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:31:59] "GET /languages.json HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:02] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:02] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:02] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:02] "GET /history.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:02] "GET /voice.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:02] "GET /api.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:02] "GET /languages.json HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:21] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:21] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:21] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:21] "GET /voice.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:21] "GET /api.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:21] "GET /history.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:21] "GET /languages.json HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:24] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:24] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:24] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:24] "GET /voice.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:24] "GET /api.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:24] "GET /history.js HTTP/1.1" 200 -
127.0.0.1 - - [05/Sep/2026 16:32:24] "GET /languages.json HTTP/1.1" 200 -
